label,text
1,Omelette gourmande au boeuf et aux pommes de terre de Nanie
2,Gratin à l'orange et au chocolat
1,Filets de Quorn à la Kriek
0,Soupe de lentilles vertes au lard
1,Riz à la sauce au thon
0,Cake à la mozzarella aux herbes
0,"Verrines lentilles, saumon, chèvre"
0,Carré d'amour provençal
0,Velouté de poireau aux herbes
2,Tarte aux pommes et au gingembre
1,Poulet aux petits pois et pousses de soja
0,Brioches aux crevettes roses
1,"Marmite dieppoise (baudroie, turbot, sole, St-Jacques, moules)"
1,Poulet aux figues provencales
2,Pamplemousse rose gratiné au four.
0,Salade de pâte Italienne et roquette
1,Tartine du soleil
2,Tartes fines pommes quetsches délicieuse
0,Crabe brésilien
2,TARTE AU FROMAGE BLANC ET FIGUES
1,Paupiettes de filet mignon aux champignons
0,Salade de topinambours au jambon
2,Cake des débutants
1,Sauté de veau aux raisins et pignons
2,Beignets de carnaval de la Maman d'Eugénie
1,Lamelles de boeuf sauté au céleri
1,Pizza aux Fruits de mer
1,Lapin à la moutarde en papillotes
2,Mousse au chocolat au lait d'Aline
0,Brick de courgette au parmesan
1,Thon façon basquaise
2,Madeleines choco-mandarine
2,Charlotte aux agrumes
0,Crème vichyssoise.
0,Terrine d'asperges
1,Aile de Raie sauce moutarde
0,Velouté de Potiron et Carottes
2,Gratin de fruits d'hiver à l'alcool de litchi
1,Lapin confit au foie gras
0,Soupe rustique au potimarron
1,Boeuf Lok Lak
2,Pudding maison aux raisins secs
0,Salade de champignons au fromage blanc épicé
2,Fondant au chocolat et aux noix
2,Bon gros gâteau au chocolat (micro-ondes)
1,Jambon aux mogettes
0,Gratin de tomates sur pommes de terres
0,Mousse de poireaux au jambon de Parme.
0,"Salade croquante de carottes, fenouil et fruits"
0,"Tarte boudins blanc, pomme et foie gras"
1,Emincé de poulet sauce cacahuètes
1,Côtelettes de mouton grillées et beurre aux herbes
1,Boulettes de boeuf à la coriandre
1,Tarte légère aux crevettes
0,Ma salade toni-croquante
1,Saumon pané sauce au chèvre
0,Cake façon paëlla
0,Quiche aux carottes et poivrons
0,Soupe aux lentilles corail
2,TARTE COCO POMMES
2,Génoise à étages à la crème de framboises
1,"Sushi rouget, maquereaux, thon, saumon"
2,Gâteau de pâtisserie appelé Figue
1,"Côte de boeuf, sauce onctueuse aux herbes"
0,Flan de lotte au crabe
0,Salade de grosses crevettes à la vanille
1,Tagliatelles à l'aubergine et aux lardons
1,Tournedos rossini aux pommes
0,Coquilles de champignons aux escargots
2,Tarte rhubarbe pomme framboise
0,Salade de kiwis et tomates de Lili
0,Tarte salée à la ratatouille et au thon
1,Poêlée de courgettes à la crème de ciboulette
1,Saucisses au choux de Bruxelles et carottes
2,Glace simple illusion (13ème rencontre Marmiton)
0,Gratton de canard
1,Salade de fromage et de saucisson à l'ail
2,Fromage blanc au miel et aux fraises
0,Tarte salée et colorée aux légumes et au surimi
2,Diplomate aux cerises et aux amandes
1,Pintade aux pommes et au cidre
2,Charlotte au citron
0,Tourte aux petits suisses
2,Crème catalane
1,Gratin de potimarron au parmesan
1,Melemen (Turquie)
1,Cailles d'hiver aux pommes et épices
0,Flan de courgettes au saumon  frais
1,Rognons de veau sauce madère
1,Pâtes à la ricotta et aux noix
1,Poulet à la tomate
2,Tiröler Cake au chocolat et noisettes
2,Gâteau russe aux noisettes et au miel
0,Ensaladilla (Tapas espagnol)
1,Bouillon aux tagliatelles et aux crevettes
1,Tête de veau à la vinaigrette
0,"Terrine au cognac, foie gras et truffes"
1,Pâtes au camembert
1,Épaule d'agneau à la crème d'ail doux
1,Pundu na madesu
2,Tarte aux noix et au miel
1,Pizza calzone courgettes poivron
2,Pain d'épices avec machine à pain
2,Framboisier
0,Salade orientale de pois chiche
2,Gâteau aux fruits pratique et rapide
2,Sablés roulés au sucre
2,"Tiramisu aux pommes,spéculos et pralin"
1,Gratin de patates douces aux fruits de mer
1,CHEVREUIL AUX POIRES
1,Palette de porc fumée (cocotte)
1,Pintade aux lentilles
1,Tarte au thon et lardons
1,Gratin morue et cardons de Marylène
2,Semoule au chocolat à la MAP
2,Beignets tyroliens
1,Capellini et flétan à l'indienne
0,Taboulé de choux-fleur
2,Millefeuille d'ananas confit à la noix de coco
1,Poulet curry et échalotes
0,Tarte aux petits pois
2,Mes crêpes bretonnes au beurre salé
2,Crème de yaourt au chocolat et banane
1,"Magret de canard aux échalotes, sauce au vin"
2,Gâteau marbré aux pépites de chocolat
0,Petites mousses soufflées à la courgette
1,Lapin à l'artichaut
2,Beignets de carnaval (Alsace)
1,"Beignets fourrés à la viande de bison, sauce brunoise"
2,Tarte moelleuse aux fruits rouges
1,Parmentier d'aubergines
2,Brioches suisses aux pépites de chocolat
1,"Pâtes au jambon cru, aux crevettes et au pesto"
0,Soupe de poireaux à l'oseille
0,Toutouf
1,Gratin de légumes à la feta
1,Paella pied-noir
2,Tiramisu aux biscuits roses et aux framboises
1,Gratin de brocolis au saumon
2,"Glace au bonbon ""Arlequin de Lutti"""
1,"Spaghetti aux sardines, courgettes et piment"
2,Tarte aux fraises légère
0,Petits chèvres au miel
2,Glace aux pommes caramélisées
2,"Moelleux fondant au chocolat noir, blanc et toblerone"
1,Poulet coco aux pommes
2,Bananes flambées
1,Mille-feuilles du potager
2,Cheese cake au Saint-Morêt
1,Pâte à pizza moelleuse
2,Tiramisu poires épices
0,Conserve de pâté de porc facile
2,Crottes d'âne - recette boulangère
1,Poulet en sauce aux asperges
1,Crevettes Thailandaises à la mangue
2,Verrine aux 5 fruits
1,Aubergine farcie aux  épices
0,Soupe froide à l'ail
2,Pruneaux au vin rouge
2,Le gâteau de mounette
1,Boeuf façon Bashu (poivrons et sauce soja)
0,Soufflé au fromage blanc
2,Fraises au vin rouge au poivre
0,Tourin blanchi
0,Jambon au sirop d'érable
2,Pains au raisins
2,Gâteau au sarrasin (ou sarrazin)
2,Glace alcoolisée suédoise maison
1,Gratin poulet mozzarella
0,Potage à la moutarde
2,Tarte à la rhubarbe allemande
2,Gâteau de relisanne
0,Artichauts cathares
1,Moules à la fourme d'Ambert
1,Osso bucco de veau du potager
1,Fondue bordelaise
2,Gâteau au yaourt et Nutella
2,Oeufs au lait au rhum
1,Panini jambon tomate basilic
0,Salade de mâche aux gésiers et agrumes
2,Crème renversée aux abricots
1,Calamars au lait de coco
2,Muffins coco choco light
2,"Gâteau à la mélasse (clou de girofle, cannelle, gingembre)"
1,Papillotes de saumon aux courgettes
0,Terrine de poireaux aux morilles
1,Délice de filet mignon aux échalotes et vinaigre balsamique
0,Cake aux olives et fromage de chèvre frais
2,Crème aux 'petits suisses'
2,Sablés réfrigérateur
2,Brownies on the rocks
2,Verrines au chocolat infusé à la menthe et à la mangue
0,Pamplemousse de la mer
1,Pâtes à la Basquaise
1,Sandwich frais à l'italienne
2,Muffins au chocolat des jumelles
1,Tarte aux deux saumons et à la mimolette
0,Salade d'endives et sa sauce chaude aux truffes
2,Délices aux pommes caramélisées
2,Soufflé glacé au marc de Gewurztraminer
0,Mesclun de Noel au foie gras
1,Escalopes de dinde au Carré Frais
2,Dessert à la ricorée
2,Bouchées croquantes de l'écureuil aux noisettes
1,Croustilles de saumon
1,Pâtissons à la hongroise
2,Crème aux oeufs légère de Paquita
1,Risotto au jambon cru fumé
1,Rôti de chevreau aux pommes de terre
1,"Boulgour au Haddock, poireau et gorgonzola"
0,Tomates farcies aux restes de poisson
1,Hachi au steak et à la saucisse de Strasbourg
2,Sorbet à la fraise
1,"Tajine d’agneau aux oignons, aux olives violettes et aux citrons confits"
2,Muffins croquants chocolat-framboise
2,Biscuit aux blancs d'oeufs
1,Tarte tatin aux courgettes et à la menthe
1,Galettes de blé noir
2,Samossas à la pomme et au nutella
2,Gâteau madeleine
0,Entrée mystère au thon
2,Gaufres de Bruxelles
1,Entrecôte au suprême de gelée de Miel
0,Caponata de légumes
2,Spritz aux noix
0,Tartelettes mimolette de Julien
2,Gros chausson de fruits au chocolat
2,Gâteau colibri à la fleur d'oranger
0,Tarte aux fanes de radis et jambon
1,Fricassée de porc au vin blanc
2,Quatre quarts au pruneaux
2,Charlotte à la mousse de citron très légère
1,Lapin mariné aux herbes
2,Tarte caramel et chocolat
2,Crumble aux poires frangipane
2,Tiramisu Glacé
2,Pâte à crumble aux noisettes
0,Salade de brocolis
1,Maïs à la péruvienne
2,Le saucisson des Ardennes
2,Tarte aux pommes et fromage blanc
1,Tourte potiron courgette
2,Gâteau aux pommes et citron de Mamie Odette
1,Poulet au fromage
0,Tarte aux châtaignes et aux poires
0,Cake allégé au poulet et aux champignons
0,Un bonhomme à croquer
1,Endives (ou poireaux) roulées à la truite fumée
2,Congolais ultra simple
1,Feuilles de vignes farcies (sarma)
1,Lasagne de courgettes et ricotta
2,Tarte alsacienne aux pommes et aux raisins secs
0,Salade de Penne aux légumes du sud
2,Cake aux noisettes et au pavot
0,"Salade de chèvre chaud, coulis de tomate à l'ail"
2,Gâteau glacé au chocolat
2,Gâteau au chocolat fondant
2,Salade d'agrumes à la gelée d'earl grey (13ème rencontre Marmiton)
1,Agneau au curry vert
1,Thon à l'espagnole
0,Tarte aux poireaux et gorgonzola
2,Gâteau de pain aux raisins secs
1,Oeufs cocotte à l'italienne
2,Petits cakes légers au yaourt
2,Bûche pralinée
0,Quenelles d'aubergines aux anchois
1,Truites frites à l'estragon
1,Sauté de porc au curry et ses légumes
1,Sauté de poulet à l'ananas
2,Croustillon (Hollande)
1,Pavé de perche en gratin
1,Riz à l'espagnole de Tante Marie-France
0,Asperges sauce mimosa
1,Recette d'amoureux
1,Poêlée estivale de courgettes et crevettes
1,Escalope de poulet à la cancoillotte
0,Préparation des escargots
0,Quiche au vert de blette et féta
2,Pastière de Pâques
1,Chèvre chaud sur lit tiède de poivron
2,Charlotte au citron et au rhum
2,Castagnaccio
1,Daube facile
0,Etoiles de Noël au fromage
1,Risotto au fenouil
0,Petit soufflé de pommes de terre
2,Galette des rois aux amandes
1,Tarte aux légumes parfumée au tandoori massala
2,Gratin de pommes à la cannelle
1,Charlotte à la courgette et au cumin
0,Coquilles St-Jacques sur un lit d'endives caramélisées
1,Congre au vin rouge et au lard
2,Le gâteau des amoureux (base de gâteau inratable)
1,Délice de fond de marmite
0,Feuilletés saumon fumé et julienne
0,Clafoutis salé de poires au parmesan
2,Muffins poires-amandes
2,La Tarte renversée des Demoiselles Tatin
2,Tarte fine aux pommes du Vaast
1,Lasagnes aux épinards et lard
1,Salade de penne au jambon cru
0,Velouté de courgettes et celéri
2,Biscuits aux fruits de la passion
1,Quiche sans pâte aux 4 fromages
0,Tomates surprises
1,Spaghetti aux gambas flambées au pastis
2,Cake aux noix et aux noisettes
1,Gratin de légumes verts au boursin et sésame
1,Tomates fourrées au basilic et au chèvre
2,"Compote pommes, mirabelles et verveine"
0,Salade craquante et douce
2,Florentins avec glucose
1,Ragoût de porc (Plat du Réveillon Antillais)
2,Sablés aux épices
1,Parmentine d'agneau à l'aubergine aux épices
2,Mousse de pêches au miel
2,Parfait au miel et aux pistaches (4ème rencontre)
1,Parmentier chou-fleur jambon de MTV
0,Quiche sans pate au micro-ondes
0,Terrine de foie de volaille Françoise Davallet
0,Gratin de poireaux au beaufort
1,Poulet farci de Marie
2,Tourte de blettes Niçoise (tourta de bléa)
1,Gravlax de boeuf
2,Beignets aux fruits
2,Tarte fondante aux abricots
2,"Tarte poires, bananes, et chocolat ultra-simple"
1,Galette de pommes de terre et poitrine fumée
1,Carangue cuit à plat et velouté aux feuilles de carry
1,Dal lentilles au lait de coco
1,Gratin de macaronis au fromage
2,Melon au Floc de Gascogne
0,Tartines fromagères à la raclette
2,Tartelettes sablées au nutella
1,Boulettes de viande sauce chasseur
1,Lotte facile aux crevettes et à la crème
1,Paupiettes de lapin laquées
2,Gâteau au lait condensé
0,Gratin crabe-champignons
2,"Tiramisu aux framboises, citron et jasmin (en verrines)"
2,Crumble façon Titi à la chti
2,Cheescake très facile
2,Gâteau choco-banane façon Alice
0,Verrine tomate mozzarella au jambon de pays
2,Tarte aux pignons de pins et aux chocolats
0,Oeufs à la mayonnaise améliorée
2,Petits pains au miel   (petits fours)
1,Coquelets aux raisins secs
0,Pissaladière
1,Lapin 'con salcetta di Venezia'
0,Pirojki à la viande (Russie)
0,Verrine aux oeufs multiples
1,Tarte au fromage à la suisse
0,Pain à la farine de châtaigne et au figatelli
0,Spanakopitas (beignets d'épinards grecs)
2,Gateau aux deux chocolats et aux amandes
2,Cake pomme-cannelle-noisettes
1,Croûtes dorées au parmesan et persil
1,Pouces-pieds au naturel
2,Flans aux épices (Tex-Mex )
1,Fricassée de lapin aux champignons
2,Gâteau chocolat noisettes cannelle
1,Porc aux lentilles
1,Filet mignon de porc au vinaigre balsamique
2,Dôme croquant de chocolat blanc à la mousse de fruits rouges et coeur de fraise
2,Pancakes américains
0,Bouchons créoles
1,Poulet soleil aux fruits et légumes
2,Pâte à Crêpe de Lili
1,"Tarte savoureuse aux brocolis, jambon et gorgonzola"
1,"Courgettes en lasagnes, chorizo et chèvre"
1,Gratin de pâtes thon et viande de tata
2,Cupcake  à la vanille fourré chocolat
2,Gâteau de ménage
0,"Quiche chaource, jambon, bacon"
1,Côtes de porc à la sauce moutarde
0,Cassolettes d'escargots
0,Roulés de saumon au thon
2,Sachertörte (Tarte Sacher - chocolat)
0,Salade minceur céleri et pomme
0,Feuilles de vigne farcies au maigre d'Hilda
2,Tarte à la rhubarbe et aux pommes caramélisées
0,Tarte à l'oignon fraîcheur
2,Verrine de mousse d'abricots au mascarpone
2,Bûche de Noël à la mousse de fruits
1,Endives aux lardons et à la crème
1,Tarte poisson - fromage
1,Couscous végétarien
1,Gratin de courgettes complet
0,Tarte au pesto et saumon fumé
2,Velouté de crème au caramel
2,Figues au miel
2,Délice de bananes
0,Tarte Robespierre
1,Papillotte de poisson façon Marie
0,Terrine lentilles saumon
2,Crumble exotique aux litchis
1,Tourte de pommes de terre auvergnate
0,Flan de surimi
2,Tarte aux fruits confits
1,Pâtes au thon et poires
2,Tarte minute
1,Pétoncles marinières
1,RISSOLES LORRAINES
1,Filet d'agneau en salade orientale
1,Soufflé aux carottes et aux épinards
0,Gaspacho tomate concombre ciboulette
1,Bobotie original de Mme Joubert (Afrique du Sud)
1,Daurade comme à Saint-Clair
0,Nems au crabe - recette vietnamienne + sauce
2,Petites crèmes chocolat intense et mandarine
1,Fricandeaux à la mode allemande
0,Cake à la rhubarbe et au chèvre
2,Figues caramélisées
2,Tarte aux fraises et à la crème d'amandes
2,Biscuits de Mongi (anneaux tunisiens)
2,Glace au caramel au beurre salé
2,Gâteau de Pâques : biscuit et crème au beurre café
2,Pudding caramélisé
1,Pommes de terre au saucisson à l'ail
2,Pain d'épices rapide
1,Escalopes de poulet exotiques
1,Truite au beurre de thym
0,Velouté carottes coco
1,Poulet au piri-piri (Portugal)
1,Poulet farci aux pommes et au lard
1,Tomates ou poivrons farcis au chèvre
1,Raviolis de caille au foie gras et vin jaune
0,Langue Lucullus
2,Nid de Pâques
2,Délicieuse tarte aux noix
2,Tarte noix de coco à l'ananas rôti
0,Pain perdu au saumon fumé
1,Truffade aveyronnaise
1,Maakouda façon cake
1,Papillotes de chou parmentier
1,Fettucini aux crevettes et noix de cajou
2,Cake au vin d'Alsace
0,"Noix de Saint-Jacques, crème d’échalotes et poireaux confits"
0,Velouté léger de radis noir
2,Petits Gervais à la banane
2,Gaufres au fromage blanc et au citron
0,Salade printanière sauce au crabe
0,Salade complète
2,"Charlotte mascarpone, poire et son coulis de chocolat"
1,Courgettes farcies au Carré Frais
0,Salade surprenante California
1,Tarte Soleil tomate-courgette-chèvre
1,Boeuf à la sauce balsamique
2,Ma recette de base pour sorbetière
1,Spaghetti à la vongole (aux palourdes)
1,Gâteau aux pommes de terre façon limousine
0,Tarte à l'oignon et anchois
1,Riz Cajun Jumbalaya
1,Gratin au munster
2,Pêches marinées au thé vert
2,Tourte aux fraises et crème anglaise
1,Mijoté asiatique
1,Tourte au thon et brocolis
1,Côtelettes de porc sauce Moutarde
2,Poires au carambar au caramel
1,Papillotes de courgettes au barbecue
1,Blancs de poulet aux coeurs d'artichauts
2,Tiramisu glacé à la fraise
2,Tarte de Linz ou Linzertorte
1,Lasagnes aux épinards et gorgonzola
0,Feuilletés Tomate Basilic Chorizo
0,Quiche brocolis épinard
2,Tarte à l'érable et noix de pacanes
2,Gaufres du Nord
0,Salade russe au surimi
2,Strenna corse
0,Feuilleté de boeuf au persil
0,Beignets aux courgettes
1,Fajitas épicées à la dinde et aux légumes du soleil
0,Noix de saint jacques au maroilles
1,Tagliatelles aux gambas et au gorgonzola
2,Dôme au chocolat et au turron pour les jours de fête
1,Porc épicé à la créole
1,Soupe vietnamienne oeuf poché et salade
1,Lapin au safran
2,Crêpes au lait de Chèvre
2,Brownies crunchy
2,Gâteau moelleux chocolat et coco
0,Terrine de thon facile
2,"Bûche aux épices, noisettes et chantilly à la confiture de lait"
1,Tourte Figues et Magret
0,Cassolettes d'escargots forestiers
1,Tarte courgette tomate parfumée au cumin
1,Risotto du sud
1,Pavé de bison flambés sauce buffalo
1,Escalopes de poulet au paprika
1,Tajine de veau au petits pois
1,Spaghettis au saumon fumé facile
0,Brochettes de crevettes à l'ananas
2,Gâteau au lait ribot
2,Tarte bourdaloue (aux poires)
2,Gâteaux briochés aux fruits confits
2,Triangle au chocolat glacé
1,"Verrine de maïs, surimi et macédoine"
2,Gâteau au Raisiné (Suisse)
0,"Gâteau polenta, amande, coco et orange"
2,Mousse aux Biscuits Roses de Reims
0,Salade aux oignons et pommes de terre
1,Tarte fine comté courgette
0,Potage betterave céleri
2,Gâteau noir de pacome au chocolat
0,TERRINE DE SAINT-JACQUES AU POIVRE VERT
1,Palourdes à la sauce au safran
2,Gâteau au chocolat et aux noix (micro-ondes)
0,Huîtres gratinées au curry
1,Sot-l'y-laisse de dinde au curry et au lait de coco
0,"Bisque de homard en verrine, excessivement simple &amp; rapide"
2,Mousse chocolat au snickers
2,Crème coco façon sorbet coco
1,Pizza raclette bacon et fromage frais de Léa
0,Verrine d'avoblanc
2,Compote de fruits aux marrons
1,Brochettes de poulet piquant à l'orange
0,Croissants au jambon
2,Pommes au four farcies aux speculoos
1,Papillotes de saumon aux épinards et à la banane
1,Saumon mariné au miel
2,Tuiles à la banane
0,"Verrine de saumon fumé, concassée de tomate et fromage blanc"
1,Pâtiflette (supplément gruyère)
1,Paupiettes de merlan aux quenelles de brochet
1,Riz à la marocaine
1,Moules à la Tomate exquise
2,Gâteau à l'orange et à la cardamome
0,Velouté de patates douces au curry et coriandre (68ème rencontre)
2,Mousse glacée à la clémentine
2,Chaud froid de fruits rouges
1,Riz façon valérie
2,Crumble ananas chocolat de Fred S
1,Plof (Russie)
2,"Madeleines au miel, citron et fleur d'oranger"
1,Tournedos enchanteurs
0,Taboulé aux huiles parfumées
1,Epaule de veau à la crème et à l'estragon
1,Roulades de poulet bacon farcies de cheddar (micro-ondes)
0,Tarte aux bettes et à la brousse
0,Os à moelle à l'oseille
1,Crevettes au cognac et poivre vert
0,Cake à la feta de jo
1,Pizza ratatouille
0,Oignons cuits aux cornichons
1,Pintade normande
1,Saumon poêlé à la vanille
2,Muffins au sirop d'érable et noix de pécan
1,Pains aux épinards et à la feta
0,Clafoutis de tomates cerises au chèvre et au comté
1,"Quiche aux tétragones, tomates et fromage de chèvre"
0,Oeuf cocotte tomate piment et basilic
2,Tarte aux peches et noix de coco
2,Salade de fraises et kiwis
1,Boulettes de boeuf (avec restes de rôti)
1,Rattes au four a la provencale
1,Poulet mariné à la pancetta
0,Ramequins oeufs lardons express
2,Le gâteau aux herbes
2,Pain d'épices à l'anis
2,Tarte tatin figues et miel
0,Salade d'oranges à la vinaigrette
0,Tagliatelles de courgette au parmesan
2,Gâteau marbré facile
2,Teurgoule du Pays d'Auge
2,Financiers au miel et aux abricots secs
1,Confit de canard en conserve
0,"Brochettes de st jacques, pomme de terre et lard"
0,Gratin de radis roses
1,Sandwich aux courgettes
2,Gâteau aux fruits acides
0,Quiche aux épinard  et au thon
2,Moka au grand marnier
1,Terrine végétale au soja
1,"Boulettes de viande aplaties, recette serbe."
1,Salade Brésilienne (autre version)
1,Pâtes aux artichauts poivrade
0,Soupe froide orange-carotte-tomate
2,Muffins au chocolat blanc
1,Tourte de riz et sauce aux poivrons
2,Confiture de pommes à l'ancienne
1,Curry de cabillaud aux petits pois
2,Gateau princesse 3D
0,Aubergines tièdes au coulis d'herbes
1,Tarte aux légumes et viande hachée
2,Tiramisu aux fruits
2,Tarte flambée aux mirabelles
1,Poulet farci de ma grand-mère
1,Magret sauce aux pêches
0,Crème de courgettes aux pignons
2,Cookies au beurre de cacahuetes
2,Tourte Cranberries - Pommes
2,La vraie recette de la galette-comtoise
2,Brownies au Baileys
1,Pâtes au saumon au miel et à l'amaretto
1,Agneau au miel de gingembre
0,Fleurs de courgettes farcies
0,Terrine de Saint-Jacques au calvados
0,Tarte au camembert fondant
1,Boeuf piquant
1,Cabillaud aux olives vertes
0,Paupiettes de veau au camembert et aux girolles
2,Cake aux pépites de chocolat et à la noix de coco
2,Tarte crémeuse aux poires
0,Tourte au saumon
2,Gratin de fruits
0,Beignets de courgettes à l'aixoise
1,Courgettes farcies au jambon rapides et délicieuses
2,Tarte amandine aux mirabelles rapide
0,Hot dogs à ma façon
1,Poulet à la mangue et aux poivrons
1,Navets au gratin
2,Gâteau de Noël allemand
1,Carbonades flamandes à la moutarde
0,Le crumble du hobbit
0,Cassolette de fruits de mer et poisson blanc
1,Gratin de ravioles aux crevettes
0,Salade de coquillettes au thon
1,Baguette flambée
2,Tarte sablée aux pralines
1,Bouchées poisson/crevettes aux petits légumes
0,Soupe de pommes à l'indienne
2,Tarte aux figues et à la poudre d'amandes
1,Kneppe aux lardons et à la crème
0,Tortilla de patatas comme en Espagne
1,Pain de chou vert à la viande hachée
0,Quiche à la dinde et champignons
0,Gaspacho à la Fécampoise
1,Salade aux gésiers de poulet
1,Piperade à ma façon
1,Risotto chèvre - épinards
0,Potage de petits pois
2,"Gâteau croquant aux noix, amandes et miel"
2,Potage froid aux fraises
2,Crème au rhum et au gingembre façon antillaise
0,Tartine de fromage de chèvre frais
2,Halloween Pie de la fée Stéphanie
0,Velouté poivrons - tomates séchées
0,Duo de pêches mozzarella
0,Champignons de paris gratinés
0,Chausson normand pomme camembert
0,Soupe chinoise au poulet
1,Truffade (Auvergne - Cantal - 15)
1,Daurade à la crème de pastis
0,Crème froide de concombre
2,Bouchées au chocolat épicé et à la fleur d'oranger
2,Entremets crème et pistache d'Hilda
1,Poulet confit au bacon
1,Brochettes de poulet marinées au siave et petits légumes
1,Boeuf à la bière
2,Bananes et clémentines aux épices
1,Caneton à la Bigarrade
0,Soupe de lentilles et lardons
1,Pizza végétarienne au chèvre
1,Bruschetta aux aubergines
2,"Muffins au thé (Earl Grey), petit goût de bergamote..."
0,Minis quiches à la julienne de légumes
1,Lapin au cidre et aux petits légumes
1,Madame Pâte
2,Far breton recette authentique
0,"Tarte aux lardons, roquefort, gruyère"
2,Gâteau chocolat ultra rapide (micro-ondes)
0,Soupe de courge ultra rapide
0,Terrine aux saveurs méditerranéennes
0,"Brick chèvre, miel et romarin"
1,Papillote aux deux poissons
1,Tagliatelles aux escargots
1,Tajine de poulet aux citrons confits et pruneaux
1,Hachis parmentier relevé - Recette Léo
1,Endives douces au jambon et comté
1,Saumon au miel et au soja
1,Veau à la grecque
0,"Potage carottes, courgette et sauge fraîche"
2,Gourmandises d'automne
1,Filets de merlan aux petits légumes et au vin blanc
0,Soupe aux fanes de navets
1,Poulet au chouchen
1,Pomme de terres à la Riojana
0,Courgettes farcies
1,Manchons de canards au cidre
0,Bricks au saumon et au chou-fleur
2,Beignets de carnaval à l'eau de vie
2,Gratin de flocons d'avoine aux pommes
1,Saint-Jacques terre et mer
2,Trifle poire chocolat aux macarons
2,Crumble aux pêches à ma façon
2,"Moelleux au chocolat chaud, sauce caramel"
0,Crevettes à l'ail très facile
2,Couronne des rois briochée aux pépites de chocolat
2,Chouquettes
0,Verrine de crevettes aux kiwis
2,Spätzle au chocolat
1,Gibelotte de lapin aux champignons
2,Tarte au citron de Caroline
2,CRUMBLE AUX FRUITS D'AUTOMNE ET AUX EPICES
2,"Tarte semoule, banane, coco"
1,Tatin d'endives aux noix
1,Pizza demi calzone ( forme cornetto)
0,Cake aux asperges et au Comté
2,Sorbet au fromage blanc
2,Gâteau meringué à la rhubarbe
1,Potée de chou rouge
1,Rougets et courgettes en papillote
1,Linguines aux courgettes
2,Tarte crémeuse aux kiwis
1,Poulet au curry et chorizo
1,Boulettes de viande à la Marrakchi
1,Wraps au pain lavash
1,Côtes d'agneau à la champvallon
2,Mousse chocolat blanc et chocolat noir
2,Tarte à la nectarine et au pain d'épices
1,Farfalle sauce épinards et gorgonzola
1,"Tarte tatin légumes, chèvre et miel"
2,Gâteau à l'ananas rapide
0,TOURTE A LA BROUSSE MALTAISE
1,Tagliatelles au jambon et curry
0,"Tarte épinard, roquette et roquefort"
1,Brochettes de coquilles St-Jacques
0,Les petites faisselles de Willy
0,Brochettes poulet et pommes de terre de nono
1,Saumon simplement authentique
1,Kangourou aux patates douces
1,"Risotto dattes, poivron, courgette"
1,Tarte chèvre tomate façon Jennifer
2,Blanc-manger facile de ma Maman
0,Verrine de rillettes de thon et concombre
0,Salade de saumon et colin cru au citron
1,Les pâtes aux crevettes de Bruno
1,Brochettes de bœuf aux oignons japonaises
1,Clafoutis aux poireaux et au chèvre
1,Riz colonial
